Year,Sex,State,Industry,Weekly_Sum
2014,Total,Tasmania,Health Care and Social Assistance,30002847.7
2014,Total,Tasmania,Arts and Recreation Services,1752508.1
2014,Total,Tasmania,Other Services,7577001.6
2014,Total,Tasmania,Total,201995925.5
2014,Total,Northern Territory,"Agriculture, Forestry and Fishing",506719.4
2014,Total,Northern Territory,Mining,9261805.4
2014,Total,Northern Territory,Manufacturing,6419950.2
2014,Total,Northern Territory,"Electricity, Gas, Water and Waste Services",4435626.2
2014,Total,Northern Territory,Construction,18036568.4
2014,Total,Northern Territory,Wholesale Trade,2886415.1
2014,Total,Northern Territory,Retail Trade,8050648.8
2014,Total,Northern Territory,Accommodation and Food Services,5927114.1
2014,Total,Northern Territory,"Transport, Postal and Warehousing",10070628.4
2014,Total,Northern Territory,Information Media and Telecommunications,4372807.7
2014,Total,Northern Territory,Financial and Insurance Services,1807855.5
2014,Total,Northern Territory,"Rental, Hiring and Real Estate Services",2427877.5
2014,Total,Northern Territory,"Professional, Scientific and Technical Services",14387951.9
2014,Total,Northern Territory,Administrative and Support Services,3729920.6
2014,Total,Northern Territory,Public Administration and Safety,31753041.6
